Date,AAPL,AMZN,CAT,JNJ,JPM,KO,MSFT,UNH,V,XOM,^GSPC
2025-08-06,212.60302734375,222.30999755859375,425.4991149902344,167.388671875,288.6383972167969,68.49984741210938,521.908203125,240.73638916015625,337.7762756347656,103.92034149169922,6345.06005859375
2025-08-07,219.36245727539062,223.1300048828125,414.9541320800781,168.31103515625,284.2694396972656,69.40647888183594,517.8319091796875,239.649169921875,330.1705017089844,103.37396240234375,6340.0
2025-08-08,228.6541748046875,222.69000244140625,414.35723876953125,170.0772705078125,286.0725402832031,69.31777954101562,519.0249633789062,245.74154663085938,334.8333740234375,104.20330047607422,6389.4501953125
2025-08-11,226.747802734375,221.3000030517578,406.418701171875,170.55809020996094,286.8650817871094,69.7218246459961,518.7565307617188,247.191162109375,333.9584655761719,103.25688171386719,6373.4501953125
2025-08-12,229.21310424804688,221.47000122070312,410.5670471191406,169.53758239746094,290.12445068359375,69.68240356445312,526.183349609375,256.2023620605469,335.3827209472656,103.5495834350586,6445.759765625
2025-08-13,232.88612365722656,224.55999755859375,411.55194091796875,171.1468048095703,287.8260192871094,69.43603515625,517.5734252929688,266.23223876953125,341.1692810058594,104.98384094238281,6466.580078125
2025-08-14,232.337158203125,230.97999572753906,415.3321838378906,171.44117736816406,291.4222717285156,68.53926086425781,519.4623413085938,265.9187927246094,344.0974426269531,104.7691879272461,6468.5400390625
2025-08-15,231.1494140625,231.02999877929688,405.672607421875,173.32516479492188,287.7864074707031,68.90388488769531,517.1657104492188,297.771484375,343.0815734863281,104.86766815185547,6449.7998046875
2025-08-18,230.4507598876953,231.49000549316406,410.4974365234375,172.94247436523438,288.8167419433594,68.1253662109375,514.1134033203125,302.1595458984375,341.3585205078125,105.09416961669922,6449.14990234375
2025-08-19,230.1213836669922,228.00999450683594,413.92950439453125,174.46339416503906,287.954833984375,69.11083221435547,506.8258056640625,297.9967346191406,341.0697326660156,105.78350067138672,6411.3701171875
2025-08-20,225.5800323486328,223.80999755859375,418.4061279296875,175.48385620117188,289.5201110839844,69.67254638671875,502.7991943359375,293.6870422363281,342.5437316894531,106.8765869140625,6395.77978515625
2025-08-21,224.47215270996094,221.9499969482422,415.72015380859375,175.57217407226562,288.7572937011719,69.63313293457031,502.15185546875,297.125,342.3046875,107.56593322753906,6370.169921875
2025-08-22,227.3267059326172,228.83999633789062,433.4078369140625,175.9254150390625,293.4828796386719,69.11083221435547,505.1295166015625,301.1114807128906,348.6291198730469,109.58470153808594,6466.91015625
2025-08-25,226.72784423828125,227.94000244140625,430.0553283691406,175.0619354248047,292.1553649902344,67.92827606201172,502.17181396484375,298.60400390625,347.4140319824219,110.03768157958984,6439.31982421875
2025-08-26,228.87376403808594,228.7100067138672,429.020751953125,174.44911193847656,295.7912292480469,67.73118591308594,499.96099853515625,294.26495361328125,349.7644958496094,109.79148864746094,6465.93994140625
2025-08-27,230.05152893066406,229.1199951171875,430.4234313964844,174.74563598632812,296.4945983886719,67.82972717285156,504.6415100097656,297.6441345214844,348.9378662109375,111.03230285644531,6481.39990234375
2025-08-28,232.11758422851562,231.60000610351562,432.6517639160156,173.42112731933594,298.2679443359375,67.3665542602539,507.5295104980469,296.0867614746094,348.4498291015625,111.62316131591797,6501.85986328125
